ID_Cliente,Data,Frete,Desconto,Quantidade,Compra_Prevista_ArvoreDecisao
15384001827.0,507,0.0,95.2,1,True
15588899895.0,295,0.0,119.0,1,True
15606343353.0,480,0.0,0.0,1,True
15767591693.0,311,0.0,48.5,1,True
15979726332.0,120,0.0,0.0,1,True
15835465652.0,250,0.0,0.01,1,True
15959541341.0,137,0.0,0.0,1,True
15625801791.0,117,0.0,20.0,1,True
13806892337.0,294,0.0,119.0,1,True
13920920008.0,295,0.0,119.0,1,True
15820957737.0,255,0.0,30.0,1,True
15016463488.0,273,0.0,0.0,1,True
15634214541.0,115,0.0,0.0,1,True
15875373896.0,137,0.0,119.0,1,True
15942325360.0,150,0.0,47.6,1,True
15945679181.0,112,0.0,119.0,1,True
15605361690.0,482,0.0,20.0,1,True
15945300974.0,147,0.0,134.0,1,True
15961671841.0,134,0.0,475.0,1,True
15957695609.0,138,0.0,42.84,1,True
15662837166.0,417,0.0,0.0,1,True
15905316385.0,144,0.0,23.8,1,True
15765434609.0,208,0.0,50.0,1,True
15734191811.0,301,0.0,0.0,1,True
15588899895.0,208,0.0,0.0,1,True
15904487801.0,151,0.0,95.2,1,True
14498338163.0,587,32.21,21.8,1,True
15746099844.0,332,0.0,0.0,1,True
14088799935.0,207,0.0,49.0,1,True
15723766475.0,239,0.0,69.0,1,True
15357933527.0,317,0.0,41.04,1,True
15826431265.0,109,0.0,0.0,1,True
12429037473.0,307,0.0,30.0,1,True
15826180610.0,151,0.0,102.0,1,True
15603788913.0,240,29.91,49.0,1,True
12268398905.0,388,0.0,0.0,1,True
15813143481.0,138,0.0,0.0,1,True
12868160682.0,686,0.0,0.0,1,True
15767422061.0,311,0.01,14.28,1,True
15973882357.0,125,0.0,28.7,1,True
13031151143.0,260,0.01,0.0,1,True
15911724827.0,179,0.0,119.0,1,True
15848760965.0,237,0.0,15.0,1,True
15826431265.0,186,0.0,119.0,1,True
15746024290.0,109,0.0,0.0,1,True
12971103152.0,338,0.01,0.0,1,True
15149104951.0,530,53.57,119.0,1,True
14498338163.0,319,0.0,35.7,1,True
15983546127.0,117,0.0,67.8,1,True
